Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
1.00000000000000e+01,3.84999599062926e-02,2.92316337680135e+01,-1.34102892199821e+01,2.92689663004613e+01
1.03526492384138e+01,1.10020372364994e-01,2.83963634748615e+01,-1.33387688048016e+01,2.84350125338143e+01
1.07177346253629e+01,1.77830706308241e-01,2.75762531137894e+01,-1.32709584676860e+01,2.76162651366271e+01
1.10956947206785e+01,2.42069519439622e-01,2.67717089882497e+01,-1.32067196508778e+01,2.68131320296201e+01
1.14869835499704e+01,3.02875848056221e-01,2.59830772424798e+01,-1.31459133188012e+01,2.60259610597161e+01
1.18920711500272e+01,3.60388527184430e-01,2.52106457767088e+01,-1.30884006357356e+01,2.52550418916547e+01
1.23114441334492e+01,4.14745569448584e-01,2.44546464779072e+01,-1.30340435893066e+01,2.45006082168544e+01
1.27456062731926e+01,4.66083596795083e-01,2.37152576476777e+01,-1.29827055575781e+01,2.37628402247782e+01
1.31950791077290e+01,5.14537330817807e-01,2.29926067132098e+01,-1.29342518186683e+01,2.30418672837735e+01
1.36604025675440e+01,5.60239141730835e-01,2.22867730341638e+01,-1.28885500028427e+01,2.23377707809680e+01
1.41421356237310e+01,6.03318651033236e-01,2.15977908978935e+01,-1.28454704879247e+01,2.16505870741178e+01
1.46408569594563e+01,6.43902393607291e-01,2.09256524834613e+01,-1.28048867396299e+01,2.09803105121339e+01
1.51571656651040e+01,6.82113527715910e-01,2.02703109432717e+01,-1.27666755990510e+01,2.03268964851845e+01
1.56916819579350e+01,7.18071600061108e-01,1.96316834435462e+01,-1.27307175200167e+01,1.96902644696229e+01
1.62450479271247e+01,7.51892353483435e-01,1.90096541570301e+01,-1.26968967594249e+01,1.90703010374025e+01
1.68179283050743e+01,7.83687581045857e-01,1.84040772157672e+01,-1.26651015239099e+01,1.84668628039776e+01
1.74110112659225e+01,8.13565020304547e-01,1.78147795752699e+01,-1.26352240763693e+01,1.78797792928803e+01
1.80250092522166e+01,8.41628281860428e-01,1.72415637709993e+01,-1.26071608059504e+01,1.73088556991236e+01
1.86606598307362e+01,8.67976813250116e-01,1.66842105645536e+01,-1.25808122651010e+01,1.67538755372652e+01
1.93187265784969e+01,8.92705890777014e-01,1.61424814623749e+01,-1.25560831772243e+01,1.62146031633374e+01
2.00000000000000e+01,9.15906638685942e-01,1.56161210959847e+01,-1.25328824183720e+01,1.56907861628875e+01
2.07052984768276e+01,9.37666069098698e-01,1.51048594734970e+01,-1.25111229762556e+01,1.51821576000709e+01
2.14354692507259e+01,9.58067143034803e-01,1.46084140867226e+01,-1.24907218896784e+01,1.46884381251008e+01
2.21913894413569e+01,9.77188847944913e-01,1.41264918586034e+01,-1.24716001712911e+01,1.42093379393937e+01
2.29739670999407e+01,9.95106288420226e-01,1.36587909795013e+01,-1.24536827163572e+01,1.37445586194746e+01
2.37841423000545e+01,1.01189078930959e+00,1.32050025727661e+01,-1.24368981999985e+01,1.32937948021416e+01
2.46228882668984e+01,1.02761000747767e+00,1.27648122527387e+01,-1.24211789651658e+01,1.28567357345633e+01
