in s,C1 in V
-5.9999832E-01,1.7738342E-03
-5.9998916E-01,1.8501282E-03
-5.9998000E-01,1.8501282E-03
-5.9997084E-01,1.8577576E-03
-5.9996168E-01,1.8424988E-03
-5.9995252E-01,1.8653870E-03
-5.9994336E-01,1.8882751E-03
-5.9993420E-01,1.8959045E-03
-5.9992504E-01,1.9264221E-03
-5.9991588E-01,1.9645691E-03
-5.9990672E-01,1.9721985E-03
-5.9989756E-01,1.9493103E-03
-5.9988840E-01,1.9340515E-03
-5.9987924E-01,1.8959045E-03
-5.9987008E-01,1.8959045E-03
-5.9986092E-01,1.8730164E-03
-5.9985176E-01,1.9111633E-03
-5.9984260E-01,1.9035339E-03
-5.9983344E-01,1.9187927E-03
-5.9982428E-01,1.8959045E-03
-5.9981512E-01,1.8730164E-03
-5.9980596E-01,1.8424988E-03
-5.9979680E-01,1.9187927E-03
-5.9978764E-01,1.8424988E-03
-5.9977848E-01,1.9035339E-03
-5.9976932E-01,1.9035339E-03
-5.9976016E-01,1.9340515E-03
-5.9975100E-01,1.9340515E-03
-5.9974184E-01,1.8882751E-03
-5.9973268E-01,1.9035339E-03
-5.9972352E-01,1.9264221E-03
-5.9971436E-01,1.8882751E-03
-5.9970520E-01,1.8424988E-03
-5.9969604E-01,1.9187927E-03
-5.9968688E-01,1.9340515E-03
-5.9967772E-01,1.9493103E-03
-5.9966856E-01,1.8730164E-03
-5.9965940E-01,1.8959045E-03
-5.9965024E-01,1.9264221E-03
-5.9964108E-01,1.9493103E-03
-5.9963192E-01,1.9111633E-03
-5.9962276E-01,1.9340515E-03
-5.9961360E-01,1.9645691E-03
-5.9960444E-01,1.9493103E-03
-5.9959528E-01,1.9798279E-03
-5.9958612E-01,2.0408630E-03
-5.9957696E-01,2.0179749E-03
-5.9956780E-01,2.0179749E-03
-5.9955864E-01,2.0332336E-03
-5.9954948E-01,1.9950867E-03
-5.9954032E-01,2.0179749E-03
-5.9953116E-01,2.0027161E-03
-5.9952200E-01,2.0408630E-03
-5.9951284E-01,2.0408630E-03
-5.9950368E-01,2.0408630E-03
-5.9949452E-01,2.0561218E-03
-5.9948536E-01,2.0561218E-03
-5.9947620E-01,1.9798279E-03
-5.9946704E-01,1.9645691E-03
-5.9945788E-01,1.9950867E-03
-5.9944872E-01,1.9569397E-03
-5.9943956E-01,2.0103455E-03
-5.9943040E-01,2.0103455E-03
-5.9942124E-01,2.0103455E-03
-5.9941208E-01,2.0256042E-03
-5.9940292E-01,2.0561218E-03
-5.9939376E-01,2.0790100E-03
-5.9938460E-01,2.0484924E-03
-5.9937544E-01,1.9950867E-03
-5.9936628E-01,1.9645691E-03
-5.9935712E-01,1.9874573E-03
-5.9934796E-01,1.9950867E-03
-5.9933880E-01,2.0103455E-03
-5.9932964E-01,2.0484924E-03
-5.9932048E-01,2.0332336E-03
-5.9931132E-01,2.0256042E-03
-5.9930216E-01,1.9950867E-03
-5.9929300E-01,2.0332336E-03
-5.9928384E-01,2.0256042E-03
-5.9927468E-01,2.0561218E-03
-5.9926552E-01,2.0332336E-03
-5.9925636E-01,2.0561218E-03
-5.9924720E-01,2.0256042E-03
-5.9923804E-01,2.0103455E-03
-5.9922888E-01,2.0256042E-03
-5.9921972E-01,2.0256042E-03
-5.9921056E-01,2.0332336E-03
-5.9920140E-01,2.0408630E-03
-5.9919224E-01,2.0332336E-03
-5.9918308E-01,2.0637512E-03
-5.9917392E-01,2.0866394E-03
-5.9916476E-01,2.0713806E-03
-5.9915560E-01,2.0484924E-03
-5.9914644E-01,2.0637512E-03
-5.9913728E-01,2.0332336E-03
-5.9912812E-01,2.0408630E-03
-5.9911896E-01,2.0484924E-03
-5.9910980E-01,2.0561218E-03
-5.9910064E-01,2.0713806E-03
-5.9909148E-01,2.0256042E-03
-5.9908232E-01,2.0637512E-03
-5.9907316E-01,2.0637512E-03
-5.9906400E-01,2.0942688E-03
-5.9905484E-01,2.0484924E-03
-5.9904568E-01,2.0332336E-03
-5.9903652E-01,2.0256042E-03
-5.9902736E-01,2.0484924E-03
-5.9901820E-01,2.0103455E-03
-5.9900904E-01,2.0332336E-03
-5.9899988E-01,1.9950867E-03
-5.9899072E-01,2.0332336E-03
-5.9898156E-01,2.0484924E-03
-5.9897240E-01,2.0256042E-03
-5.9896324E-01,2.0256042E-03
-5.9895408E-01,2.0561218E-03
-5.9894492E-01,2.0713806E-03
-5.9893576E-01,2.0637512E-03
-5.9892660E-01,2.0790100E-03
-5.9891744E-01,2.1324158E-03
-5.9890828E-01,2.1553040E-03
-5.9889912E-01,2.1476746E-03
-5.9888996E-01,2.1705627E-03
-5.9888080E-01,2.1400452E-03
-5.9887164E-01,2.1629333E-03
-5.9886248E-01,2.1553040E-03
-5.9885332E-01,2.1476746E-03
-5.9884416E-01,2.1705627E-03
-5.9883500E-01,2.1553040E-03
-5.9882584E-01,2.1705627E-03
-5.9881668E-01,2.1705627E-03
-5.9880752E-01,2.1400452E-03
-5.9879836E-01,2.1400452E-03
-5.9878920E-01,2.1247864E-03
-5.9878004E-01,2.1095276E-03
-5.9877088E-01,2.1018982E-03
-5.9876172E-01,2.1171570E-03
-5.9875256E-01,2.1095276E-03
-5.9874340E-01,2.1781921E-03
-5.9873424E-01,2.2087097E-03
-5.9872508E-01,2.1553040E-03
-5.9871592E-01,2.1400452E-03
-5.9870676E-01,2.1324158E-03
-5.9869760E-01,2.1095276E-03
-5.9868844E-01,2.1400452E-03
-5.9867928E-01,2.1781921E-03
-5.9867012E-01,2.1629333E-03
-5.9866096E-01,2.1324158E-03
-5.9865180E-01,2.1476746E-03
-5.9864264E-01,2.1934509E-03
-5.9863348E-01,2.1934509E-03
-5.9862432E-01,2.2239685E-03
-5.9861516E-01,2.1247864E-03
-5.9860600E-01,2.1400452E-03
-5.9859684E-01,2.1324158E-03
-5.9858768E-01,2.0637512E-03
