condition,distance,run,k,alpha,freeze,events,detected,trigger_snr,peak_ratio,noise_floor
baseline,10mm,1,2.0,0.01,2.0,1,1,2.008,256.3288,2.218052e-05
baseline,10mm,2,2.0,0.01,2.0,1,1,2.003,290.3065,0.0002354532
baseline,10mm,3,2.0,0.01,2.0,1,1,2.01,1155.704,0.0002213866
baseline,30mm,1,2.0,0.01,2.0,1,1,2.005,33.0552,0.0001642997
baseline,30mm,2,2.0,0.01,2.0,0,0,0.0,1.7018,0.0002049652
baseline,30mm,3,2.0,0.01,2.0,1,1,2.0,1030.8095,0.0002189019
baseline,50mm,1,2.0,0.01,2.0,1,1,2.014,251.3314,9.832622e-05
baseline,50mm,2,2.0,0.01,2.0,1,1,2.015,83.7529,4.884314e-05
baseline,50mm,3,2.0,0.01,2.0,1,1,2.014,251.3126,9.82854e-05
baseline,10mm,1,2.0,0.003,2.0,1,1,2.01,416.7124,4.550608e-05
baseline,10mm,2,2.0,0.003,2.0,1,1,2.014,351.6192,0.0001871863
baseline,10mm,3,2.0,0.003,2.0,1,1,2.042,635.649,0.0001993935
baseline,30mm,1,2.0,0.003,2.0,1,1,2.002,398.0109,0.0001265139
baseline,30mm,2,2.0,0.003,2.0,3,1,2.001,540.029,6.765596e-05
baseline,30mm,3,2.0,0.003,2.0,1,1,2.029,625.6343,0.0001786711
baseline,50mm,1,2.0,0.003,2.0,1,1,2.005,560.0489,8.373034e-05
baseline,50mm,2,2.0,0.003,2.0,1,1,2.039,116.7712,9.231315e-05
baseline,50mm,3,2.0,0.003,2.0,1,1,2.006,560.0736,8.370557e-05
baseline,10mm,1,2.0,0.001,2.0,1,1,2.006,579.9126,8.584209e-05
baseline,10mm,2,2.0,0.001,2.0,1,1,2.007,375.2342,0.0001408169
baseline,10mm,3,2.0,0.001,2.0,1,1,2.019,490.6417,0.0001542923
baseline,30mm,1,2.0,0.001,2.0,1,1,2.004,603.4459,0.0001063139
baseline,30mm,2,2.0,0.001,2.0,3,1,2.005,391.0488,9.343126e-05
baseline,30mm,3,2.0,0.001,2.0,1,1,2.015,452.5748,0.0001406656
baseline,50mm,1,2.0,0.001,2.0,1,1,2.026,394.6527,0.0001148825
baseline,50mm,2,2.0,0.001,2.0,1,1,2.028,158.1954,0.0001340711
baseline,50mm,3,2.0,0.001,2.0,1,1,2.026,394.6792,0.0001148661
baseline,10mm,1,2.0,0.0003,2.0,1,1,2.001,631.9028,0.0001006581
baseline,10mm,2,2.0,0.0003,2.0,1,1,2.009,424.4809,0.0001288003
baseline,10mm,3,2.0,0.0003,2.0,1,1,2.003,486.8534,0.0001345992
baseline,30mm,1,2.0,0.0003,2.0,2,1,2.01,721.0734,0.0001120899
baseline,30mm,2,2.0,0.0003,2.0,2,1,2.004,285.7939,0.0001415872
baseline,30mm,3,2.0,0.0003,2.0,1,1,2.016,422.7502,0.0001309421
baseline,50mm,1,2.0,0.0003,2.0,1,1,2.018,346.9692,0.0001358011
baseline,50mm,2,2.0,0.0003,2.0,1,1,2.002,181.7053,0.0001452521
baseline,50mm,3,2.0,0.0003,2.0,1,1,2.018,346.9991,0.0001357957
baseline,10mm,1,2.0,0.0001,2.0,2,1,2.01,638.832,0.0001015375
baseline,10mm,2,2.0,0.0001,2.0,4,1,2.151,519.3387,0.0001054941
baseline,10mm,3,2.0,0.0001,2.0,3,1,2.002,560.8224,0.0001151889
baseline,30mm,1,2.0,0.0001,2.0,2,1,2.003,764.5552,0.0001218536
baseline,30mm,2,2.0,0.0001,2.0,1,1,2.003,249.0058,0.000148088
baseline,30mm,3,2.0,0.0001,2.0,2,1,2.0,419.2278,0.0001355486
baseline,50mm,1,2.0,0.0001,2.0,1,1,2.044,335.9646,0.0001444754
baseline,50mm,2,2.0,0.0001,2.0,1,1,2.002,184.2225,0.0001487155
baseline,50mm,3,2.0,0.0001,2.0,1,1,2.044,336.0199,0.000144476
baseline,10mm,1,2.0,3e-05,2.0,1,1,2.007,559.5052,0.0001111945
baseline,10mm,2,2.0,3e-05,2.0,4,1,3.519,849.6301,6.807027e-05
baseline,10mm,3,2.0,3e-05,2.0,4,1,2.6,824.7712,8.462098e-05
baseline,30mm,1,2.0,3e-05,2.0,3,1,2.001,914.8378,0.0001124686
baseline,30mm,2,2.0,3e-05,2.0,1,1,2.005,220.7955,0.0001546586
baseline,30mm,3,2.0,3e-05,2.0,4,1,2.919,688.9376,9.193133e-05
baseline,50mm,1,2.0,3e-05,2.0,1,1,2.016,269.1047,0.0001650773
baseline,50mm,2,2.0,3e-05,2.0,4,1,2.002,319.0199,8.812494e-05
baseline,50mm,3,2.0,3e-05,2.0,1,1,2.022,269.87,0.0001648792
baseline,10mm,1,2.0,1e-05,2.0,1,1,2.017,436.7787,0.0001444741
baseline,10mm,2,2.0,1e-05,2.0,4,1,5.84,1410.1392,4.101336e-05
baseline,10mm,3,2.0,1e-05,2.0,4,1,3.754,1191.0569,5.859749e-05
baseline,30mm,1,2.0,1e-05,2.0,4,1,2.018,944.2093,0.0001081498
baseline,30mm,2,2.0,1e-05,2.0,1,1,2.004,192.6784,0.0001772148
baseline,30mm,3,2.0,1e-05,2.0,4,1,4.418,1042.7868,6.073624e-05
baseline,50mm,1,2.0,1e-05,2.0,1,1,2.003,189.8896,0.0002397921
baseline,50mm,2,2.0,1e-05,2.0,4,1,2.001,500.5506,5.613271e-05
baseline,50mm,3,2.0,1e-05,2.0,1,1,2.015,191.0466,0.0002386039
baseline,10mm,1,3.0,0.01,3.0,0,0,0.0,2.4293,2.218052e-05
baseline,10mm,2,3.0,0.01,3.0,0,0,0.0,2.1047,0.0002354532
baseline,10mm,3,3.0,0.01,3.0,1,1,3.022,940.8178,0.0002213866
baseline,30mm,1,3.0,0.01,3.0,0,0,0.0,2.1978,0.0001642997
baseline,30mm,2,3.0,0.01,3.0,0,0,0.0,1.7018,0.0002049652
baseline,30mm,3,3.0,0.01,3.0,0,0,0.0,2.6208,0.0002189019
baseline,50mm,1,3.0,0.01,3.0,0,0,0.0,2.4852,9.832622e-05
baseline,50mm,2,3.0,0.01,3.0,0,0,0.0,2.834,4.884314e-05
baseline,50mm,3,3.0,0.01,3.0,0,0,0.0,2.4851,9.82854e-05
baseline,10mm,1,3.0,0.003,3.0,1,1,3.031,360.3396,4.550608e-05
baseline,10mm,2,3.0,0.003,3.0,1,1,3.011,277.0813,0.0001871863
baseline,10mm,3,3.0,0.003,3.0,1,1,3.029,605.5125,0.0001993935
baseline,30mm,1,3.0,0.003,3.0,0,0,0.0,2.8882,0.0001265139
baseline,30mm,2,3.0,0.003,3.0,0,0,0.0,2.4828,0.0001553822
baseline,30mm,3,3.0,0.003,3.0,1,1,3.013,545.9637,0.0001786711
baseline,50mm,1,3.0,0.003,3.0,1,1,3.007,392.4176,8.373034e-05
baseline,50mm,2,3.0,0.003,3.0,1,1,3.04,110.2289,9.231315e-05
baseline,50mm,3,3.0,0.003,3.0,1,1,3.008,392.4119,8.370557e-05
baseline,10mm,1,3.0,0.001,3.0,1,1,3.011,551.1958,8.584209e-05
baseline,10mm,2,3.0,0.001,3.0,1,1,3.003,356.3385,0.0001408169
baseline,10mm,3,3.0,0.001,3.0,1,1,3.001,482.8922,0.0001542923
baseline,30mm,1,3.0,0.001,3.0,1,1,3.01,540.3675,0.0001063139
baseline,30mm,2,3.0,0.001,3.0,1,1,3.001,264.6042,0.0001377237
baseline,30mm,3,3.0,0.001,3.0,1,1,3.023,433.3738,0.0001406656
baseline,50mm,1,3.0,0.001,3.0,1,1,3.009,383.925,0.0001148825
baseline,50mm,2,3.0,0.001,3.0,1,1,3.012,155.1145,0.0001340711
baseline,50mm,3,3.0,0.001,3.0,1,1,3.01,383.9488,0.0001148661
baseline,10mm,1,3.0,0.0003,3.0,1,1,3.042,621.1301,0.0001006582
baseline,10mm,2,3.0,0.0003,3.0,1,1,3.002,418.7415,0.0001288004
baseline,10mm,3,3.0,0.0003,3.0,1,1,3.011,484.5438,0.0001345992
baseline,30mm,1,3.0,0.0003,3.0,1,1,3.018,701.6486,0.0001095591
baseline,30mm,2,3.0,0.0003,3.0,1,1,3.001,265.9002,0.0001444855
baseline,30mm,3,3.0,0.0003,3.0,1,1,3.033,417.4806,0.0001309422
baseline,50mm,1,3.0,0.0003,3.0,1,1,3.002,344.2465,0.0001358012
baseline,50mm,2,3.0,0.0003,3.0,1,1,3.059,175.2122,0.0001452522
baseline,50mm,3,3.0,0.0003,3.0,1,1,3.003,344.2754,0.0001357957
baseline,10mm,1,3.0,0.0001,3.0,1,1,3.02,635.2746,0.0001038563
baseline,10mm,2,3.0,0.0001,3.0,1,1,3.03,450.72,0.0001252752
baseline,10mm,3,3.0,0.0001,3.0,1,1,3.003,500.4041,0.0001275168
baseline,30mm,1,3.0,0.0001,3.0,1,1,3.003,757.8841,0.0001163251
baseline,30mm,2,3.0,0.0001,3.0,1,1,3.001,243.2515,0.0001481773
baseline,30mm,3,3.0,0.0001,3.0,1,1,3.02,410.2038,0.0001295461
baseline,50mm,1,3.0,0.0001,3.0,1,1,3.044,335.0612,0.0001444881
baseline,50mm,2,3.0,0.0001,3.0,1,1,3.068,181.8227,0.0001487469
baseline,50mm,3,3.0,0.0001,3.0,1,1,3.045,335.116,0.0001444887
baseline,10mm,1,3.0,3e-05,3.0,1,1,3.004,558.7694,0.0001112316
baseline,10mm,2,3.0,3e-05,3.0,4,1,3.519,849.6301,7.060888e-05
baseline,10mm,3,3.0,3e-05,3.0,2,1,3.0,802.7632,0.0001100555
baseline,30mm,1,3.0,3e-05,3.0,1,1,3.019,819.1558,0.000121087
baseline,30mm,2,3.0,3e-05,3.0,1,1,3.003,219.1633,0.0001551353
baseline,30mm,3,3.0,3e-05,3.0,1,1,3.017,477.4929,0.0001292429
baseline,50mm,1,3.0,3e-05,3.0,1,1,3.036,268.8513,0.000165146
baseline,50mm,2,3.0,3e-05,3.0,1,1,3.081,213.6604,0.000143259
baseline,50mm,3,3.0,3e-05,3.0,1,1,3.044,269.6146,0.0001649479
baseline,10mm,1,3.0,1e-05,3.0,1,1,3.023,436.6205,0.00014451
baseline,10mm,2,3.0,1e-05,3.0,4,1,5.84,1410.1392,4.101336e-05
baseline,10mm,3,3.0,1e-05,3.0,4,1,3.754,1191.0569,5.859749e-05
baseline,30mm,1,3.0,1e-05,3.0,1,1,3.02,889.6796,0.0001165315
baseline,30mm,2,3.0,1e-05,3.0,1,1,3.003,192.1192,0.0001777103
baseline,30mm,3,3.0,1e-05,3.0,4,1,4.418,1042.7868,6.073624e-05
baseline,50mm,1,3.0,1e-05,3.0,1,1,3.047,189.82,0.0002398793
baseline,50mm,2,3.0,1e-05,3.0,4,1,3.001,499.195,5.63039e-05
baseline,50mm,3,3.0,1e-05,3.0,1,1,3.015,190.9797,0.0002386866
baseline,10mm,1,4.0,0.01,4.0,0,0,0.0,2.4293,2.218052e-05
baseline,10mm,2,4.0,0.01,4.0,0,0,0.0,2.1047,0.0002354532
baseline,10mm,3,4.0,0.01,4.0,1,1,4.007,478.2908,0.0002213866
baseline,30mm,1,4.0,0.01,4.0,0,0,0.0,2.1978,0.0001642997
baseline,30mm,2,4.0,0.01,4.0,0,0,0.0,1.7018,0.0002049652
baseline,30mm,3,4.0,0.01,4.0,0,0,0.0,2.6208,0.0002189019
baseline,50mm,1,4.0,0.01,4.0,0,0,0.0,2.4852,9.832622e-05
baseline,50mm,2,4.0,0.01,4.0,0,0,0.0,2.834,4.884314e-05
baseline,50mm,3,4.0,0.01,4.0,0,0,0.0,2.4851,9.82854e-05
baseline,10mm,1,4.0,0.003,4.0,1,1,4.023,287.2305,4.550608e-05
baseline,10mm,2,4.0,0.003,4.0,0,0,0.0,3.5848,0.0001871863
baseline,10mm,3,4.0,0.003,4.0,1,1,4.005,562.4701,0.0001993935
